"item_id	item_name	category	department"
"7122	Wedges	fast_food	food"
"7123	Onions Ringe	fast_food	food"
"7124	Chicken Nuggets	fast_food	food"
"7125	Chilli Cheese Nuggets	fast_food	food"
"7126	Mozzarelles Sticks	fast_food	food"
"7128	Sweet Potatos fries	fast_food	food"
"7129	Mix Box	fast_food	food"
"7130	Knoblauch Souce	fast_food	food"
"7131	Classic Burger	fast_food	food"
"7132	Halloumi Burger	fast_food	food"
"7133	Vegan Burger	fast_food	food"
"7134	Toppings	fast_food	food"
"7135	Classic Burger Menu	fast_food	food"
"7136	Nudeln Gemuese	fast_food	food"
"7137	Nudeln-Reis Huhn	fast_food	food"
"7138	Thai Curry	fast_food	food"
"7139	Nudeln-Reis geb. Huhn	fast_food	food"
"7140	Gebackene Ente	fast_food	food"
"7141	Garnelen im Teigmantel	fast_food	food"
"7142	Fruehlingsrolle	fast_food	food"
"7143	Gluecks Keks	fast_food	food"
"7144	Pizza Margherita	fast_food	food"
"7145	Pizza Salami	fast_food	food"
"7146	Pizza Schinken	fast_food	food"
"7147	Pizza Thunfisch	fast_food	food"
"7148	Pizza Mario	fast_food	food"
"7150	Pizza Calzone	fast_food	food"
"7151	Fischbroetchen	fast_food	food"
"7152	Backfisch	fast_food	food"
"7153	Backfisch m. Salat	fast_food	food"
"7154	Calamares	fast_food	food"
"7155	Portion Kartoffelsalat	fast_food	food"
"7156	Broetchen	fast_food	food"
"7157	Extras	fast_food	food"
"7158	Burrito - Vegetal	fast_food	food"
"7159	Burrito - Con Carne	fast_food	food"
"7160	Burrito - Pollo	fast_food	food"
"7161	Veggie	fast_food	food"
"7162	Friends Price	fast_food	food"
"7164	Puderzucker	sweets	food"
"7165	Zimt u Zucker	sweets	food"
"7166	Apfelmus	sweets	food"
"7167	Sosse	sweets	food"
"7168	Nutella	sweets	food"
"7169	Cookie Dough	sweets	food"
"7171	extra Sosse	sweets	food"
"7172	extra Nutella	sweets	food"
"7173	Extra	ice_cream	food"
"7174	Falafel Menue 1	fast_food	food"
"7175	Falafel Menue 2	fast_food	food"
"7176	Falafel Menue 3	fast_food	food"
"7177	Falafel halbe Portion	fast_food	food"
"7178	Green Classic 0"
"7179	Green Classic 0"
"7180	Purple Smoothie 0"
"7181	Purple Smoothie 0"
"7182	Maca Smoothie 0"
"7183	Maca Smoothie 0"
"7184	Gurke Ingwer Smash 0"
"7185	Gurken Ingwer Smash 0"
"7186	Erdbeer Melone Smash 0"
"7187	Erdbeer Melone Smash 0"
"7188	Erdbeer Chia 0"
"7189	Erdbeer Chia 0"
"7190	Heidelbeer Chia 0"
"7191	Heidelbeer Chia 0"
"7193	Frozen Heidelbeer	drinks_nos	drinks"
"7194	Deposit	deposit	non_food"
"7195	Slushie 0"
"7196	Slushie 0"
